[2022-05-04 13:26:40,903] - logger.py] - INFO: 数据查询成功，时间为Wed May  4 13:26:40 2022
[2022-05-04 13:27:23,732] - logger.py] - INFO: 数据查询成功，时间为Wed May  4 13:27:23 2022
[2022-05-04 13:27:45,735] - logger.py] - INFO: 数据查询成功，时间为Wed May  4 13:27:45 2022
[2022-05-04 13:29:38,695] - logger.py] - INFO: 数据查询成功，时间为Wed May  4 13:29:38 2022
[2022-05-04 22:35:11,069] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:35:11,069] - logger.py] - INFO: 验证接口请求成功
[2022-05-04 22:35:11,117] - logger.py] - INFO: 接口请求成功
[2022-05-04 22:35:11,117] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 22:35:11,118] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 22:35:11,118] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 22:35:11,118] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 22:36:43,040] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:36:43,041] - logger.py] - INFO: 验证接口请求成功
[2022-05-04 22:36:43,082] - logger.py] - INFO: 接口请求成功
[2022-05-04 22:36:43,082] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 22:36:43,082] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 22:36:43,083] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 22:36:43,083] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 22:38:06,659] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:38:06,660] - logger.py] - INFO: 验证接口请求成功
[2022-05-04 22:38:06,695] - logger.py] - INFO: 接口请求成功
[2022-05-04 22:38:06,695] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 22:38:06,695] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 22:38:06,696] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 22:38:06,696] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 22:39:13,418] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:39:13,419] - logger.py] - INFO: 验证接口请求成功
[2022-05-04 22:39:13,466] - logger.py] - INFO: 接口请求成功
[2022-05-04 22:39:13,466] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 22:39:13,467] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 22:39:13,467] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 22:39:13,467] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 22:39:13,468] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 22:39:30,151] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:39:30,151] - logger.py] - INFO: 验证接口请求成功
[2022-05-04 22:39:30,189] - logger.py] - INFO: 接口请求成功
[2022-05-04 22:39:30,190] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 22:39:30,190] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 22:39:30,190] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 22:39:30,191] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 22:39:30,191] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 22:40:15,802] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:40:15,802] - logger.py] - INFO: 验证接口请求成功
[2022-05-04 22:40:15,840] - logger.py] - INFO: 接口请求成功
[2022-05-04 22:40:15,840] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 22:40:15,841] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 22:40:15,841] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 22:40:15,841] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 22:40:15,841] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 22:40:51,880] - logger.py] - INFO: ----------
[2022-05-04 22:40:51,881] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:40:51,881] - logger.py] - INFO: 验证接口请求成功
[2022-05-04 22:40:51,919] - logger.py] - INFO: 接口请求成功
[2022-05-04 22:40:51,920] - logger.py] - INFO: 接口返回状态断言成功，状态码为200
[2022-05-04 22:40:51,920] - logger.py] - INFO: 响应体msg信息断言成功
[2022-05-04 22:40:51,921] - logger.py] - INFO: 响应体状态码断言成功，状态码为200
[2022-05-04 22:40:51,921] - logger.py] - INFO: 验证接口登录成功
[2022-05-04 22:40:51,921] - logger.py] - INFO: 登录接口用例执行结束
[2022-05-04 22:40:51,922] - logger.py] - INFO: ----------
[2022-05-04 22:41:47,113] - logger.py] - INFO: ----------
[2022-05-04 22:41:47,113] - logger.py] - INFO: 登录接口用例开始执行
[2022-05-04 22:41:47,114] - logger.py] - INFO: 用例标题：验证接口请求成功
[2022-05-04 22:41:47,150] - logger.py] - INFO: 接口请求成功
